stars,forks,watchers,issues,age_days,commits,popularity_score
50,3,50,3,1249,100,35.300000000000004
50,9,50,3,2579,100,36.5
50,47,50,0,4455,100,44.4
50,4,50,1,4591,100,35.699999999999996
50,18,50,1,4320,100,38.5
50,11,50,3,4629,100,36.900000000000006
50,6,50,0,1360,100,36.2
50,25,50,0,1872,100,40.0
50,24,50,18,3462,100,38.0
50,16,50,0,2879,100,38.2
50,10,50,1,1498,100,36.9
50,5,50,1,1409,100,35.9
50,24,50,5,4630,100,39.3
50,9,50,3,995,100,36.5
50,8,50,1,1961,100,36.5
50,11,50,1,1232,100,37.1
50,8,50,1,1922,100,36.5
50,10,50,0,2683,100,37.0
50,14,50,11,3025,100,36.699999999999996
50,8,50,2,1033,100,36.4
50,7,50,0,1336,100,36.4
50,61,50,3,618,100,46.900000000000006
50,14,50,0,3721,100,37.8
50,11,50,1,3180,100,37.1
50,12,50,1,2213,100,37.3
50,2,50,25,1888,100,32.9
50,20,50,1,3242,100,38.9
50,5,50,0,1119,100,36.0
50,7,50,5,4637,100,35.9
50,16,50,3,2329,100,37.900000000000006
50,13,50,3,4536,100,37.300000000000004
50,63,50,9,3327,100,46.7
50,9,50,5,3324,100,36.3
50,73,50,17,2079,100,47.9
50,3,50,1,2040,100,35.5
50,30,50,10,5108,100,40.0
50,28,50,4,718,100,40.2
50,58,50,0,3767,100,46.6
50,17,50,2,1607,100,38.199999999999996
50,14,50,1,1824,100,37.699999999999996
50,3,50,1,908,100,35.5
50,18,50,2,2018,100,38.4
50,5,50,3,1013,100,35.7
50,25,50,4,4122,100,39.6
50,17,50,3,5139,100,38.1
50,21,50,4,3186,100,38.800000000000004
50,30,50,0,3285,100,41.0
50,10,50,2,4909,100,36.8
50,20,50,0,4456,100,39.0
50,7,50,1,2098,100,36.3
50,6,50,1,2977,100,36.1
50,10,50,9,1137,100,36.1
50,20,50,10,5184,100,38.0
50,4,50,13,2959,100,34.5
50,21,50,7,1141,100,38.5
50,34,50,1,2262,100,41.699999999999996
50,14,50,0,1833,100,37.8
50,8,50,0,1049,100,36.6
50,19,50,4,387,100,38.4
50,19,50,12,2373,100,37.599999999999994
50,40,50,10,2539,100,42.0
50,11,50,0,3302,100,37.2
50,16,50,41,2801,100,34.1
50,2,50,0,3323,100,35.4
50,18,50,0,1131,100,38.6
50,41,50,1,932,100,43.1
50,27,50,31,1042,100,37.3
50,0,50,0,90,100,35.0
50,6,50,3,2905,100,35.900000000000006
50,28,50,11,1225,100,39.5
50,3,50,3,3664,100,35.300000000000004
50,10,50,15,1001,100,35.5
50,10,50,0,440,100,37.0
50,13,50,0,3826,100,37.6
50,7,50,0,1562,100,36.4
50,15,50,30,1609,100,35.0
50,2,50,3,881,100,35.1
50,8,50,0,937,100,36.6
50,45,50,1,1260,100,43.9
50,50,50,5,1686,100,44.5
50,0,50,0,1272,100,35.0
50,36,50,1,4310,100,42.1
50,26,50,3,2602,100,39.900000000000006
50,5,50,1,1919,100,35.9
50,3,50,7,486,100,34.9
50,14,50,6,2462,100,37.199999999999996
50,41,50,0,2849,100,43.2
50,3,50,12,473,100,34.4
50,11,50,0,2770,100,37.2
50,22,50,64,2253,100,33.0
50,8,50,3,418,100,36.300000000000004
50,15,50,16,4055,100,36.4
50,26,50,3,1469,100,39.900000000000006
50,4,50,0,2372,100,35.8
50,31,50,0,3422,100,41.2
50,29,50,19,2028,100,38.9
50,23,50,1,358,100,39.5
50,16,50,1,682,100,38.1
50,22,50,3,2558,100,39.1
50,9,50,0,1309,100,36.8
50,5,50,1,1235,100,35.9
50,9,50,2,1151,100,36.599999999999994
50,14,50,1,4691,100,37.699999999999996
50,27,50,29,2653,100,37.5
50,7,50,2,2792,100,36.199999999999996
50,20,50,2,770,100,38.8
50,7,50,1,2284,100,36.3
50,2,50,0,95,100,35.4
50,0,50,5,330,100,34.5
50,19,50,0,3585,100,38.8
50,21,50,0,200,100,39.2
50,2,50,0,2076,100,35.4
50,4,50,1,222,100,35.699999999999996
50,6,50,0,1354,100,36.2
50,7,50,1,1360,100,36.3
50,20,50,3,575,100,38.7
50,3,50,2,2052,100,35.4
50,19,50,1,3000,100,38.699999999999996
50,8,50,0,3075,100,36.6
50,43,50,1,1328,100,43.5
50,2,50,4,840,100,35.0
50,1,50,1,359,100,35.1
50,8,50,9,693,100,35.7
50,9,50,1,374,100,36.699999999999996
50,5,50,2,168,100,35.8
50,14,50,0,1331,100,37.8
50,3,50,0,440,100,35.6
50,13,50,0,1221,100,37.6
50,10,50,0,319,100,37.0
50,16,50,1,520,100,38.1
50,19,50,195,4928,100,19.299999999999997
50,9,50,0,2891,100,36.8
50,40,50,0,2067,100,43.0
50,5,50,0,1370,100,36.0
50,7,50,0,463,100,36.4
50,9,50,0,2221,100,36.8
50,3,50,17,1572,100,33.9
50,20,50,1,340,100,38.9
50,3,50,12,219,100,34.4
50,4,50,0,820,100,35.8
50,23,50,0,1997,100,39.6
50,8,50,7,161,100,35.9
50,10,50,4,586,100,36.6
50,3,50,2,1622,100,35.4
50,6,50,8,1610,100,35.400000000000006
50,127,50,95,4318,100,50.900000000000006
50,0,50,0,524,100,35.0
50,13,50,0,581,100,37.6
50,2,50,0,63,100,35.4
50,0,50,9,245,100,34.1
50,4,50,2,35,100,35.599999999999994
50,2,50,2,106,100,35.199999999999996
50,0,50,2,79,100,34.8
50,3,50,0,110,100,35.6
50,10,50,0,4125,100,37.0
50,8,50,27,3669,100,33.9
50,15,50,7,5238,100,37.3
50,11,50,1,5398,100,37.1
50,4,50,2,5193,100,35.599999999999994
50,9,50,10,6236,100,35.8
50,34,50,0,4907,100,41.8
50,10,50,4,4866,100,36.6
50,9,50,1,5605,100,36.699999999999996
50,36,50,18,5152,100,40.400000000000006
50,14,50,1,5201,100,37.699999999999996
50,6,50,4,5313,100,35.800000000000004
50,11,50,0,3426,100,37.2
50,16,50,0,3426,100,38.2
50,33,50,0,3443,100,41.6
50,22,50,2,3795,100,39.199999999999996
50,6,50,2,3738,100,36.0
50,15,50,0,3266,100,38.0
50,7,50,10,4035,100,35.4
50,13,50,1,4064,100,37.5
50,97,50,4,3966,100,54.00000000000001
50,11,50,7,3280,100,36.5
50,19,50,0,3718,100,38.8
50,34,50,5,3886,100,41.3
50,49,50,19,3861,100,42.9
50,28,50,0,4100,100,40.6
50,10,50,0,3541,100,37.0
50,21,50,7,3522,100,38.5
50,25,50,2,3768,100,39.8
50,3,50,2,3529,100,35.4
50,15,50,1,4533,100,37.9
50,16,50,8,4356,100,37.400000000000006
50,3,50,0,4290,100,35.6
50,26,50,1,4255,100,40.1
50,7,50,1,5021,100,36.3
50,68,50,0,4783,100,48.6
50,50,50,0,4812,100,45.0
50,21,50,7,4742,100,38.5
50,3,50,1,4521,100,35.5
50,19,50,7,4441,100,38.099999999999994
50,9,50,2,4203,100,36.599999999999994
50,18,50,1,4212,100,38.5
50,44,50,0,4181,100,43.8
50,21,50,5,3162,100,38.7
50,22,50,2,3052,100,39.199999999999996
50,5,50,0,3086,100,36.0
50,8,50,1,3179,100,36.5
50,42,50,1,3122,100,43.3
50,22,50,1,3113,100,39.3
50,6,50,17,3149,100,34.5
50,5,50,2,2553,100,35.8
50,0,50,1,2508,100,34.9
50,29,50,35,2446,100,37.3
50,6,50,0,2393,100,36.2
50,8,50,0,2600,100,36.6
50,15,50,0,2545,100,38.0
50,5,50,0,2544,100,36.0
50,17,50,2,2405,100,38.199999999999996
50,5,50,0,2398,100,36.0
50,9,50,0,2633,100,36.8
50,50,50,2,2756,100,44.8
50,8,50,13,2746,100,35.300000000000004
50,17,50,3,2745,100,38.1
50,4,50,1,2745,100,35.699999999999996
50,2,50,0,2825,100,35.4
50,5,50,0,2829,100,36.0
50,10,50,0,2897,100,37.0
50,21,50,21,3004,100,37.1
50,18,50,0,2894,100,38.6
50,19,50,2,2881,100,38.599999999999994
50,33,50,0,2290,100,41.6
50,9,50,0,1125,100,36.8
50,3,50,5,1752,100,35.1
50,17,50,21,2296,100,36.3
50,67,50,2,1917,100,48.199999999999996
50,18,50,0,2178,100,38.6
50,5,50,1,2082,100,35.9
50,6,50,0,2058,100,36.2
50,7,50,0,2051,100,36.4
50,6,50,0,2031,100,36.2
50,7,50,2,1992,100,36.199999999999996
50,5,50,0,1986,100,36.0
50,8,50,6,2236,100,36.0
50,26,50,21,1803,100,38.1
50,3,50,2,824,100,35.4
50,2,50,1,241,100,35.3
50,9,50,0,2673,100,36.8
50,21,50,0,4094,100,39.2
50,11,50,0,1486,100,37.2
50,0,50,1,382,100,34.9
50,5,50,5,1566,100,35.5
50,18,50,1,3173,100,38.5
50,26,50,26,3282,100,37.6
50,7,50,0,1783,100,36.4
50,11,50,2,3905,100,37.0
50,13,50,0,3955,100,37.6
50,180,50,2,1328,100,70.8
50,17,50,0,4061,100,38.4
50,21,50,2,1316,100,39.0
50,23,50,3,2315,100,39.300000000000004
50,27,50,16,2802,100,38.8
50,6,50,6,3227,100,35.6
50,3,50,0,860,100,35.6
50,21,50,5,4102,100,38.7
50,8,50,3,3562,100,36.300000000000004
50,24,50,31,2932,100,36.699999999999996
50,2,50,0,1788,100,35.4
50,26,50,0,2834,100,40.2
50,17,50,9,3398,100,37.5
50,1,50,2,1502,100,35.0
50,13,50,19,2172,100,35.7
50,29,50,1,2552,100,40.699999999999996
50,5,50,1,3920,100,35.9
50,9,50,1,1260,100,36.699999999999996
50,5,50,11,2352,100,34.9
50,7,50,23,1784,100,34.1
50,7,50,14,2394,100,35.0
50,13,50,3,2052,100,37.300000000000004
50,2,50,0,1296,100,35.4
50,16,50,2,3558,100,38.0
50,3,50,0,2683,100,35.6
50,10,50,2,2044,100,36.8
50,59,50,1,2932,100,46.699999999999996
50,6,50,2,3668,100,36.0
50,2,50,1,777,100,35.3
50,16,50,0,3032,100,38.2
50,11,50,2,1501,100,37.0
50,10,50,17,2342,100,35.3
50,24,50,1,1987,100,39.699999999999996
50,37,50,4,3775,100,42.0
50,107,50,0,5171,100,56.400000000000006
50,16,50,1,5115,100,38.1
50,11,50,0,2580,100,37.2
50,16,50,9,2533,100,37.300000000000004
50,0,50,0,108,100,35.0
50,11,50,7,430,100,36.5
50,8,50,0,1306,100,36.6
50,3,50,2,310,100,35.4
50,5,50,1,858,100,35.9
50,0,50,0,600,100,35.0
50,8,50,5,2507,100,36.1
50,22,50,0,3632,100,39.4
50,4,50,0,351,100,35.8
50,8,50,6,714,100,36.0
50,71,50,36,1654,100,45.6
50,12,50,2,2046,100,37.199999999999996
50,31,50,2,4102,100,41.0
50,13,50,4,1028,100,37.2
50,9,50,0,2392,100,36.8
50,18,50,4,2520,100,38.2
50,18,50,3,1315,100,38.300000000000004
50,23,50,9,2482,100,38.7
50,63,50,2,3782,100,47.4
50,10,50,0,228,100,37.0
50,3,50,2,688,100,35.4
50,3,50,0,240,100,35.6
50,1,50,1,372,100,35.1
50,31,50,6,3779,100,40.6
50,20,50,3,1043,100,38.7
50,8,50,26,895,100,34.0
50,4,50,1,1242,100,35.699999999999996
50,47,50,3,1616,100,44.1
50,22,50,0,317,100,39.4
50,3,50,1,981,100,35.5
50,9,50,1,2147,100,36.699999999999996
50,8,50,4,2354,100,36.2
50,4,50,0,2142,100,35.8
50,72,50,20,3850,100,47.4
50,11,50,2,1030,100,37.0
50,11,50,1,5065,100,37.1
50,10,50,1,2189,100,36.9
50,8,50,0,591,100,36.6
50,0,50,0,29,100,35.0
50,8,50,1,2708,100,36.5
50,15,50,1,340,100,37.9
50,5,50,1,550,100,35.9
50,15,50,4,1166,100,37.6
50,66,50,6,3398,100,47.6
50,4,50,0,1630,100,35.8
50,11,50,2,391,100,37.0
50,14,50,0,4704,100,37.8
50,5,50,1,638,100,35.9
50,14,50,1,46,100,37.699999999999996
50,1,50,1,86,100,35.1
50,17,50,1,729,100,38.3
50,3,50,0,570,100,35.6
50,28,50,1,259,100,40.5
50,11,50,0,248,100,37.2
50,4,50,4,2558,100,35.4
50,7,50,3,500,100,36.1
50,0,50,5,1355,100,34.5
50,5,50,0,1483,100,36.0
50,3,50,0,170,100,35.6
50,12,50,3,2145,100,37.1
50,29,50,5,2147,100,40.3
50,8,50,1,1632,100,36.5
50,8,50,0,2108,100,36.6
50,23,50,0,1490,100,39.6
50,9,50,4,952,100,36.4
50,4,50,9,1009,100,34.9
50,1,50,9,3320,100,34.300000000000004
50,28,50,3,3751,100,40.300000000000004
50,6,50,0,2015,100,36.2
50,11,50,1,765,100,37.1
50,16,50,11,1534,100,37.1
50,46,50,4,3901,100,43.800000000000004
50,8,50,2,2389,100,36.4
50,17,50,4,4853,100,38.0
50,6,50,0,2706,100,36.2
50,6,50,0,2571,100,36.2
50,12,50,4,2566,100,37.0
50,15,50,0,3630,100,38.0
50,2,50,0,2871,100,35.4
50,7,50,29,2364,100,33.5
50,16,50,13,3968,100,36.900000000000006
50,43,50,1,2386,100,43.5
50,14,50,1,3706,100,37.699999999999996
50,6,50,0,3534,100,36.2
50,8,50,5,1842,100,36.1
50,3,50,1,2709,100,35.5
50,23,50,2,2316,100,39.4
50,8,50,7,1360,100,35.9
50,4,50,0,529,100,35.8
50,12,50,2,3720,100,37.199999999999996
50,15,50,17,3244,100,36.3
50,11,50,4,634,100,36.800000000000004
50,20,50,0,2824,100,39.0
50,34,50,5,1641,100,41.3
50,9,50,12,2302,100,35.599999999999994
50,17,50,1,3309,100,38.3
50,3,50,0,868,100,35.6
50,3,50,3,3195,100,35.300000000000004
50,6,50,10,1067,100,35.2
50,8,50,4,3304,100,36.2
50,7,50,2,1435,100,36.199999999999996
50,7,50,0,2379,100,36.4
50,14,50,0,2458,100,37.8
50,12,50,9,4706,100,36.5
50,10,50,9,2393,100,36.1
50,5,50,1,1407,100,35.9
50,13,50,1,1889,100,37.5
50,21,50,1,4761,100,39.1
50,10,50,0,3268,100,37.0
50,4,50,1,859,100,35.699999999999996
50,30,50,4,3276,100,40.6
50,7,50,0,2497,100,36.4
50,15,50,0,2937,100,38.0
50,14,50,7,3835,100,37.099999999999994
50,16,50,2,892,100,38.0
50,11,50,2,3102,100,37.0
50,15,50,1,2877,100,37.9
50,13,50,1,1878,100,37.5
50,17,50,0,741,100,38.4
50,12,50,3,4159,100,37.1
50,20,50,0,884,100,39.0
50,10,50,0,4345,100,37.0
50,8,50,2,1575,100,36.4
50,9,50,0,400,100,36.8
50,28,50,20,2490,100,38.6
50,10,50,2,3976,100,36.8
50,29,50,6,2821,100,40.199999999999996
50,22,50,15,3762,100,37.9
50,11,50,2,4360,100,37.0
50,13,50,5,2398,100,37.1
50,11,50,7,6005,100,36.5
50,6,50,1,575,100,36.1
50,19,50,2,2294,100,38.599999999999994
50,23,50,1,2098,100,39.5
50,16,50,0,3221,100,38.2
50,1,50,0,1307,100,35.2
50,0,50,0,2367,100,35.0
50,39,50,2,3268,100,42.599999999999994
50,1,50,0,1593,100,35.2
50,10,50,4,1776,100,36.6
50,20,50,4,1100,100,38.6
50,5,50,1,4757,100,35.9
50,3,50,34,956,100,32.2
50,6,50,2,2808,100,36.0
50,28,50,0,5163,100,40.6
50,14,50,1,2788,100,37.699999999999996
50,1,50,14,1006,100,33.800000000000004
50,14,50,3,3029,100,37.5
50,15,50,8,3921,100,37.2
50,0,50,0,314,100,35.0
50,1,50,1,292,100,35.1
50,0,50,0,1324,100,35.0
50,11,50,2,2220,100,37.0
50,8,50,1,2465,100,36.5
50,13,50,7,2204,100,36.9
50,11,50,0,1927,100,37.2
50,6,50,5,1977,100,35.7
50,5,50,113,1646,100,24.7
50,13,50,3,2147,100,37.300000000000004
50,14,50,0,3636,100,37.8
50,13,50,2,1676,100,37.4
